display_name,year,type,works_count,cited_by_count,city,geometry,region_shp
A.V. Shubnikov Institute of Crystallography,2020,facility,274,6278,Moscow,"c(37.577793, 55.7108)",Moscow City
A.V. Shubnikov Institute of Crystallography,2021,facility,273,6601,Moscow,"c(37.577793, 55.7108)",Moscow City
A.V. Shubnikov Institute of Crystallography,2022,facility,260,6650,Moscow,"c(37.577793, 55.7108)",Moscow City
A.V. Shubnikov Institute of Crystallography,2023,facility,337,6897,Moscow,"c(37.577793, 55.7108)",Moscow City
A.V. Shubnikov Institute of Crystallography,2024,facility,38,2909,Moscow,"c(37.577793, 55.7108)",Moscow City
A.V. Topchiev Institute of Petrochemical Synthesis,2012,facility,149,1533,Moscow,"c(37.577812, 55.710815)",Moscow City
A.V. Topchiev Institute of Petrochemical Synthesis,2013,facility,176,1862,Moscow,"c(37.577812, 55.710815)",Moscow City
A.V. Topchiev Institute of Petrochemical Synthesis,2014,facility,180,1916,Moscow,"c(37.577812, 55.710815)",Moscow City
A.V. Topchiev Institute of Petrochemical Synthesis,2015,facility,222,2467,Moscow,"c(37.577812, 55.710815)",Moscow City
A.V. Topchiev Institute of Petrochemical Synthesis,2016,facility,257,2707,Moscow,"c(37.577812, 55.710815)",Moscow City
A.V. Topchiev Institute of Petrochemical Synthesis,2017,facility,241,3107,Moscow,"c(37.577812, 55.710815)",Moscow City
A.V. Topchiev Institute of Petrochemical Synthesis,2018,facility,352,3605,Moscow,"c(37.577812, 55.710815)",Moscow City
A.V. Topchiev Institute of Petrochemical Synthesis,2019,facility,360,4350,Moscow,"c(37.577812, 55.710815)",Moscow City
A.V. Topchiev Institute of Petrochemical Synthesis,2020,facility,370,4955,Moscow,"c(37.577812, 55.710815)",Moscow City
A.V. Topchiev Institute of Petrochemical Synthesis,2021,facility,331,5473,Moscow,"c(37.577812, 55.710815)",Moscow City
A.V. Topchiev Institute of Petrochemical Synthesis,2022,facility,348,6166,Moscow,"c(37.577812, 55.710815)",Moscow City
A.V. Topchiev Institute of Petrochemical Synthesis,2023,facility,366,6980,Moscow,"c(37.577812, 55.710815)",Moscow City
A.V. Topchiev Institute of Petrochemical Synthesis,2024,facility,77,3054,Moscow,"c(37.577812, 55.710815)",Moscow City
A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch of the Russian Academy of Sciences,2012,facility,105,1323,Vladivostok,"c(131.87354, 43.10562)",Primor'ye
A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch of the Russian Academy of Sciences,2013,facility,123,1515,Vladivostok,"c(131.87354, 43.10562)",Primor'ye
A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch of the Russian Academy of Sciences,2014,facility,128,1740,Vladivostok,"c(131.87354, 43.10562)",Primor'ye
A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch of the Russian Academy of Sciences,2015,facility,154,1880,Vladivostok,"c(131.87354, 43.10562)",Primor'ye
A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch of the Russian Academy of Sciences,2016,facility,133,1684,Vladivostok,"c(131.87354, 43.10562)",Primor'ye
A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch of the Russian Academy of Sciences,2017,facility,134,1784,Vladivostok,"c(131.87354, 43.10562)",Primor'ye
A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch of the Russian Academy of Sciences,2018,facility,158,2158,Vladivostok,"c(131.87354, 43.10562)",Primor'ye
A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch of the Russian Academy of Sciences,2019,facility,171,2523,Vladivostok,"c(131.87354, 43.10562)",Primor'ye
A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch of the Russian Academy of Sciences,2020,facility,187,3104,Vladivostok,"c(131.87354, 43.10562)",Primor'ye
A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch of the Russian Academy of Sciences,2021,facility,196,3695,Vladivostok,"c(131.87354, 43.10562)",Primor'ye
A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch of the Russian Academy of Sciences,2022,facility,211,3952,Vladivostok,"c(131.87354, 43.10562)",Primor'ye
A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch of the Russian Academy of Sciences,2023,facility,206,3850,Vladivostok,"c(131.87354, 43.10562)",Primor'ye
A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch of the Russian Academy of Sciences,2024,facility,51,1571,Vladivostok,"c(131.87354, 43.10562)",Primor'ye
Academician M.F. Reshetnev Information Satellite Systems (Russia),2012,company,4,2,Zheleznogorsk,"c(93.53413, 56.26076)",Krasnoyarsk
