display_name,year,type,works_count,cited_by_count,city,geometry,region_shp
Institute of Problems of Mechanical Engineering,2022,facility,313,3754,Saint Petersburg,"c(30.268806, 59.935738)",City of St. Petersburg
Institute of Problems of Mechanical Engineering,2023,facility,252,3474,Saint Petersburg,"c(30.268806, 59.935738)",City of St. Petersburg
Institute of Problems of Mechanical Engineering,2024,facility,53,1053,Saint Petersburg,"c(30.268806, 59.935738)",City of St. Petersburg
Institute of Professional Accountants of Russia,2017,nonprofit,2,0,Moscow,"c(37.600544, 55.767086)",Moscow City
Institute of Professional Accountants of Russia,2018,nonprofit,3,0,Moscow,"c(37.600544, 55.767086)",Moscow City
Institute of Professional Accountants of Russia,2019,nonprofit,1,0,Moscow,"c(37.600544, 55.767086)",Moscow City
Institute of Professional Accountants of Russia,2020,nonprofit,9,0,Moscow,"c(37.600544, 55.767086)",Moscow City
Institute of Professional Accountants of Russia,2021,nonprofit,12,0,Moscow,"c(37.600544, 55.767086)",Moscow City
Institute of Professional Accountants of Russia,2022,nonprofit,2,0,Moscow,"c(37.600544, 55.767086)",Moscow City
Institute of Professional Evaluation,2012,education,1,4,Moscow,"c(37.540756, 55.775993)",Moscow City
Institute of Professional Evaluation,2013,education,2,1,Moscow,"c(37.540756, 55.775993)",Moscow City
Institute of Professional Evaluation,2014,education,2,1,Moscow,"c(37.540756, 55.775993)",Moscow City
Institute of Professional Evaluation,2015,education,2,1,Moscow,"c(37.540756, 55.775993)",Moscow City
Institute of Professional Evaluation,2016,education,1,2,Moscow,"c(37.540756, 55.775993)",Moscow City
Institute of Professional Evaluation,2017,education,1,2,Moscow,"c(37.540756, 55.775993)",Moscow City
Institute of Professional Evaluation,2018,education,14,3,Moscow,"c(37.540756, 55.775993)",Moscow City
Institute of Professional Evaluation,2019,education,6,9,Moscow,"c(37.540756, 55.775993)",Moscow City
Institute of Professional Evaluation,2020,education,12,50,Moscow,"c(37.540756, 55.775993)",Moscow City
Institute of Professional Evaluation,2021,education,4,44,Moscow,"c(37.540756, 55.775993)",Moscow City
Institute of Professional Evaluation,2022,education,7,40,Moscow,"c(37.540756, 55.775993)",Moscow City
Institute of Professional Evaluation,2023,education,5,52,Moscow,"c(37.540756, 55.775993)",Moscow City
